iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
COL_2000s,COL,2000s,0.3402708208727073,0.637693938546009,0.6,1.5,0.25,0.0,0.5566,1.0,7.217370061433467
COL_2010s,COL,2010s,0.3447044122670559,0.6647740556872083,0.0,1.4,0.0,0.0,0.6651,0.9,5.01926462079431
COL_2020s,COL,2020s,0.31949360168588636,0.6793415715664567,0.0,2.2,0.0,0.1,0.6804,1.0,4.757032535297338
CRI_1990s,CRI,1990s,0.0051716173290903104,0.0,0.0,0.0,0.12857142857142856,1.0,0.891,0.0,0.0
CRI_2000s,CRI,2000s,0.0,0.0,0.0,0.0,0.12857142857142856,1.0,0.8991,0.0,0.0
CRI_2010s,CRI,2010s,0.0057001438202149285,0.0,0.0,0.0,0.12857142857142856,1.0,0.9032,0.0,0.0
CRI_2020s,CRI,2020s,0.0,0.0,0.0,0.0,0.12857142857142856,1.0,0.8757999999999999,0.0,0.0
CYP_1990s,CYP,1990s,0.26775715839361647,0.4651351798968226,0.0,0.0,0.12857142857142856,1.0,0.7650909090909092,0.0,0.0
CYP_2000s,CYP,2000s,0.2166939200245232,0.4385886568063541,0.0,0.0,0.12857142857142856,1.0,0.8209,0.0,0.0
CYP_2010s,CYP,2010s,0.19125007130052762,0.4331455554999115,0.0,0.0,0.12857142857142856,1.0,0.8446,0.0,0.0
CYP_2020s,CYP,2020s,0.2247244592844174,0.4573190017558593,0.0,0.0,0.12857142857142856,1.0,0.787,0.0,0.0
CZE_1990s,CZE,1990s,0.2744306465086022,0.6208485910378976,0.18181818181818182,0.0,1.0,1.0,0.8124545454545454,0.18181818181818182,0.0
CZE_2000s,CZE,2000s,0.3017323205009227,0.5999459167025487,1.0,1.5,0.39444444444444443,2.055555555555556,0.8893000000000001,0.6,0.0
CZE_2010s,CZE,2010s,0.2527720151114272,0.5802553996873684,0.5,1.5,0.35,1.5,0.8526999999999999,1.0,0.0
